no,legacy_screen,module,legacy_path,actions,fields_filters,tables_columns,business_validation,status_audit_offline,outputs_acceptance
29,Mencetak Laporan Pembelian per Periode,Laporan Pembelian,Pembelian > Laporan,Halaman Pertama; Sebelum; Berikut; Terakhir; Zoom 100%; Cetak; Unduh PDF; Ekspor Excel; Simpan Snapshot; Riwayat Cetak; Kembali (padanan Ke Menu),Periode; Gudang / Pihak; Versi snapshot; Penanda,"Grid 1: Nama Supplier, No. Faktur, Tanggal, Pembelian","Laporan pembelian per periode harus mengelompokkan dan menjumlahkan transaksi pada rentang yang dipilih, menyediakan filter supplier/barang, serta merekonsiliasi total ke faktur pembelian dan hutang pada cut-off yang sama.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Laporan pembelian per periode PDF/cetak/Excel, snapshot, total per supplier/faktur, dan drill-down. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
30,Menu Penjualan,Penjualan,Menu Utama > Penjualan,Cetak Faktur; Tambah Baris; Ubah Baris; Hapus Baris; Selesai Ubah; Simpan Draft; Posting Transaksi; Batalkan Dokumen/Reversal untuk posted; Piutang; Bayar Piutang; Laporan; Kembali (padanan Ke Menu),Tanggal; Sales; No. Faktur; Customer; Jatuh Tempo; Saldo Piutang; Status; Wilayah; Kode Barang; Nama Barang; Satuan; No. Batch; Tanggal Kedaluwarsa; Stok Barang; Banyak; Harga Akhir; Harga Terakhir; Diskon Rp; Harga Jual Neto; Jumlah; Termin; Status Piutang; Nomor referensi,"Grid 1: #Barang, Nama Barang, Banyak, Harga, Jumlah","Penjualan wajib memelihara header dan baris, sales, customer, harga resolver, diskon, batch, expiry, termin, dan jumlah. Posting harus atomik/idempotent terhadap dokumen, stok, batch, piutang, laba kotor, jurnal, dan audit. Invoice posted dikoreksi dengan reversal/retur.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Faktur penjualan, nomor posting, referensi stok/batch, piutang, laba kotor, jurnal, audit, dan cetak ulang. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
31,Membuka Piutang dari Menu Penjualan,Piutang Dagang,Penjualan > Piutang,Cetak Faktur; Tambah Baris; Ubah Baris; Hapus Baris; Selesai Ubah; Simpan Draft; Posting Transaksi; Batalkan Dokumen/Reversal untuk posted; Piutang; Bayar Piutang; Laporan; Kembali (padanan Ke Menu),Tanggal; Sales; No. Faktur; Customer; Jatuh Tempo; Saldo Piutang; Status; Wilayah; Kode Barang; Nama Barang; Satuan; No. Batch; Tanggal Kedaluwarsa; Stok Barang; Banyak; Harga Akhir; Harga Terakhir; Diskon Rp; Harga Jual Neto; Jumlah; Termin; Status Piutang; Nomor referensi,"Grid 1: #Barang, Nama Barang, Banyak, Harga, Jumlah","Tombol Piutang wajib menjadi deep-link fungsional yang membawa faktur, customer, sales, tanggal, jatuh tempo, nilai, dan status ke subledger piutang. Navigasi tidak boleh membuat piutang ganda atau kehilangan konteks.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Deep-link ke piutang terkait dan kembali ke penjualan tanpa membuat output atau record baru. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
32,Data Piutang Customer,Piutang Dagang,Penjualan > Piutang > Daftar,Bayar Piutang; Lihat Pembayaran; Analisis Piutang; Edit Pembayaran; Cetak; Ekspor Excel; Muat Ulang; Kembali (padanan Ke Menu),Cari customer; Filter Semua; Tanggal acuan (As of); Belum Lunas; Tampilkan Lunas; Status BG: Semua,"Grid 1: Kode, Nama Customer, Wilayah; Grid 2: Tanggal, No. Faktur, Jatuh Tempo, Tgl Bayar, Jumlah, Keterangan","Piutang diperlakukan sebagai register event: faktur menambah saldo dan penerimaan/retur/discount mengurangi saldo. Customer, sales snapshot, faktur, payment event, dan outstanding harus sinkron serta dapat direkonsiliasi.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Register piutang PDF/Excel, detail faktur, event penerimaan, outstanding, dan rekonsiliasi. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
33,Menampilkan Piutang yang Sudah Lunas,Piutang Dagang,Daftar Piutang > Lunas Muncul,Bayar Piutang; Lihat Pembayaran; Analisis Piutang; Edit Pembayaran; Cetak; Ekspor Excel; Muat Ulang; Kembali (padanan Ke Menu),Cari customer; Filter Semua; Tanggal acuan (As of); Belum Lunas; Sembunyikan Lunas; Status BG: Semua,"Grid 1: Kode, Nama Customer, Wilayah; Grid 2: Tanggal, No. Faktur, Jatuh Tempo, Tgl Bayar, Jumlah, Keterangan",Tampilkan/Sembunyikan Lunas hanya mengubah visibilitas. Dokumen settled dan seluruh event penerimaan tetap tersedia. Total harus mengikuti filter tanpa menghapus atau memindahkan event historis.,"Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Register piutang termasuk settled/lunas PDF/Excel; parameter filter wajib tercantum. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
34,Pembayaran Piutang,Penerimaan Piutang,Penjualan > Bayar Piutang,Simpan Pembayaran; Batal; Lihat Bayar; Analisis Piutang; Edit Bayar; Sales Membawa Nota; Cetak Bukti; Kembali (padanan Ke Menu),Tanggal; Total Piutang; Nama Customer; Nomor Faktur; Pembayaran via; Jumlah Bayar; No. BG; Bank; BG Jatuh Tempo; Status; F4 - Cari No. Faktur / ESC - ke nama Customer; Status belum lunas,"Tidak ada grid utama pada layar ini; komponen utama: Form Pembayaran Piutang, Alokasi Pembayaran. Daftar terkait tetap wajib tersedia melalui tombol/panel yang ditentukan.","Penerimaan piutang wajib dialokasikan ke faktur yang benar dan tidak boleh melebihi outstanding. Tunai, transfer, giro/BG, discount, retur, serta kaitan sales/nota harus lengkap. Posting harus atomik terhadap piutang, kas/bank, jurnal, dan audit.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Bukti penerimaan piutang, nomor alokasi, referensi kas/bank/jurnal, status BG, dan audit. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
35,Melihat Pembayaran Piutang,Riwayat Penerimaan Piutang,Bayar Piutang > Lihat Bayar Piutang,Periode; Cari Pihak; Semua; Tunai; Giro; Transfer; Discount; Retur; Cetak; Ekspor Excel; Tutup; Kembali (padanan Ke Menu),Tanggal awal (Dari); Tanggal akhir (Sampai); Cari customer / faktur; Filter Semua; Tunai; Giro; Transfer; Discount; Retur,"Grid 1: Nama Customer, No. Faktur, Tgl Bayar, Jumlah, Keterangan, No. BG, Bank, Tgl BG","Riwayat penerimaan harus menampilkan semua event, metode, BG, bank, tanggal BG, discount, retur, pengguna, dan referensi. Koreksi dilakukan dengan reversal/koreksi berotorisasi, bukan menghapus event posted.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Riwayat penerimaan PDF/Excel dan drill-down bukti tiap event. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
36,Mencetak Pembayaran Piutang,Laporan Penerimaan Piutang,Lihat Bayar Piutang > Cetak,Halaman Pertama; Sebelum; Berikut; Terakhir; Zoom 100%; Cetak; Unduh PDF; Ekspor Excel; Simpan Snapshot; Riwayat Cetak; Kembali (padanan Ke Menu),Periode; Gudang / Pihak; Versi snapshot; Penanda,"Grid 1: Nama Customer, No. Faktur, Tgl Bayar, Jumlah","Laporan penerimaan piutang harus memakai snapshot dan filter yang sama dengan riwayat, menampilkan customer, faktur, tanggal, jenis, jumlah, dan total, serta merekonsiliasi ke subledger dan kas/bank.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Laporan penerimaan piutang PDF/cetak/Excel dengan snapshot dan riwayat reprint. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
37,Analisis Piutang per Customer,Analisis Piutang,Piutang > Analisis per Customer,As of Date; Per Pihak; Per Periode; Semua; Drill-down Faktur; Cetak; Ekspor Excel; Simpan Snapshot; Kembali (padanan Ke Menu),Tanggal acuan (As of); Periode dokumen; Per Customer; Per Periode; Filter Semua,"Grid 1: Customer, No. Faktur, Tanggal, Jatuh Tempo, Belum Jth Tmp, 1-30, 31-60, 61-90, >90","Aging piutang per customer dihitung dari jatuh tempo dan as-of date. Bucket harus saling eksklusif, status lunas/retur diperhitungkan, dan jumlah bucket harus sama dengan outstanding customer serta total subledger.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Aging piutang per customer PDF/Excel, snapshot as-of, drill-down faktur, dan total rekonsiliasi. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
38,Analisis Piutang per Sales,Analisis Piutang,Piutang > Analisis per Sales,As of Date; Per Sales; Per Periode; Semua; Drill-down Customer; Cetak; Ekspor Excel; Simpan Snapshot; Kembali (padanan Ke Menu),Tanggal acuan (As of); Per Sales; Per Periode; Filter Semua; Cari sales / customer,"Grid 1: Sales, Customer, No.Faktur, Tanggal, Jth Tempo, Saldo, Belum Jth, 1-30, 31-90, >90","Aging per sales menggunakan sales snapshot pada faktur, bukan sales master terkini semata. Satu faktur tidak boleh terhitung ganda saat agregasi customer-sales; total per sales harus sama dengan total piutang keseluruhan.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Aging piutang per sales PDF/Excel, drill-down customer/faktur, snapshot, dan total rekonsiliasi. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
39,Sales Membawa Nota,Distribusi Nota Sales,Penjualan > Sales Bawa Nota,Simpan Pembayaran; Batal; Lihat Bayar; Analisis Piutang; Edit Bayar; Sales Membawa Nota; Cetak Bukti; Kembali (padanan Ke Menu); Buka Daftar Nota Sales,Tanggal; Total Piutang; Nama Customer; Nomor Faktur; Pembayaran via; Jumlah Bayar; No. BG; Bank; BG Jatuh Tempo; Status; Sales; Tanggal bawa; Jumlah nota; Nilai nota; F4 - Cari No. Faktur / ESC - ke nama Customer; Status belum lunas,"Tidak ada grid utama pada layar ini; komponen utama: Form Sales Membawa Nota, Distribusi Nota Sales. Daftar terkait tetap wajib tersedia melalui tombol/panel yang ditentukan.","Sales membawa nota harus menjadi fungsi custody/serah-terima yang merekam sales, tanggal, daftar faktur, nilai, penyerah, penerima, status dibawa/dikembalikan, dan bukti. Karena penyimpanan permanen legacy belum sepenuhnya terbukti, detailnya wajib dikonfirmasi melalui UAT, bukan dihilangkan.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Bukti serah-terima nota, nomor paket, daftar faktur, nilai, sales, penyerah/penerima, status, dan audit. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
40,Nota Sales,Nota Penjualan,Sales Bawa Nota > Cetak,Kosongkan Nota Dibawa; Tandai Semua Dibawa; Batalkan Serah Terima; Filter Sales; Filter Wilayah; Buat Nota yang Dibawa; Cetak Serah Terima; Ekspor Excel; Kembali (padanan Ke Menu),Sales; Tanggal bawa; Cari customer / faktur; Filter Semua; Per Customer; Per Wilayah,"Grid 1: Sales, Nama Customer, Nota/Faktur, Tgl Faktur, Tgl Jth Tempo, Sisa Waktu, Jml Piutang, Dibawa, Wilayah","Daftar nota sales harus mendukung pemilihan per faktur/customer/wilayah, tandai semua, kosongkan, batalkan serah-terima, buat paket nota, dan cetak bukti. Setiap perubahan custody wajib mempunyai waktu, pengguna, sales, penerima, dan histori.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Daftar nota sales, bukti serah-terima PDF/cetak, Excel, histori custody, dan status pengembalian. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
41,Laporan Piutang,Laporan Piutang,Piutang > Laporan,Jenis: Rekap Penjualan; Outstanding Piutang; Urut Nama Barang; Fast Moving (QTY); Cari Nama Barang; Cetak; Ekspor Excel; Drill-down Faktur; Kembali (padanan Ke Menu),Rekap Penjualan Barang - fungsi legacy; Outstanding Piutang; Register Event Piutang; Periode laporan; Urut Nama Barang; Fast Moving (QTY); Cari Nama Barang; Nama barang...,"Grid 1: #Brg, Nama Barang, Satuan, QTY, Jumlah (Rp)","Fungsi legacy rekap penjualan per barang wajib tetap tersedia. Untuk mencegah salah makna, layar baru juga menyediakan tab Outstanding Piutang dan Register Event Piutang. Pengguna harus memilih jenis laporan secara eksplisit; judul, kolom, dan total mengikuti jenis tersebut.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Rekap penjualan legacy, outstanding piutang, atau register event sesuai tab; PDF/Excel dan drill-down faktur. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
42,Mencetak Laporan Piutang,Laporan Piutang,Laporan Piutang > Cetak,Halaman Pertama; Sebelum; Berikut; Terakhir; Zoom 100%; Cetak; Unduh PDF; Ekspor Excel; Simpan Snapshot; Riwayat Cetak; Kembali (padanan Ke Menu),Periode; Gudang / Pihak; Versi snapshot; Penanda,"Grid 1: #BRG, NAMA BARANG, QTY, SAT, JUMLAH (Rp)","Cetak laporan harus mengikuti tab/jenis yang dipilih pada layar 41. Judul, periode, filter, kolom, jumlah baris, total, versi snapshot, dan sumber data harus jelas sehingga rekap penjualan tidak tertukar dengan outstanding piutang.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","PDF/cetak/Excel dari jenis laporan terpilih dengan judul, periode, parameter, versi, total, dan riwayat cetak. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
43,Kas dan Jurnal,Kas/Jurnal,Menu Utama > Kas,Pertama; Sebelum; Berikut; Terakhir; Tambah Jurnal; Ubah Draft; Simpan; Batal; Hapus Draft saja; Posting; Reversal; Cetak Bukti; Cari; Laba-Rugi; Buku Besar; Perkiraan Baru; Kembali (padanan Ke Menu),Tanggal; Nomor Bukti; No. Perkiraan [D]; No. Perkiraan [K]; Uraian; Jumlah Rp; Status; Periode,"Grid 1: Kode Akun, Nama Akun, Debit, Kredit","Jurnal wajib double-entry dan seimbang. Draft boleh diubah/dihapus; jurnal posted tidak boleh dihapus dan hanya dikoreksi dengan reversal. Periode, akun debit/kredit, uraian, jumlah, nomor bukti, posting user, dan audit harus lengkap.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Bukti jurnal, nomor posting/reversal, buku besar, PDF/cetak, dan jejak audit. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
44,Membuat Perkiraan Baru,Master Perkiraan,Kas/Jurnal > Perkiraan Baru,Pertama; Sebelum; Berikut; Terakhir; Tambah; Ubah (padanan Ganti); Simpan; Batal; Nonaktifkan (padanan aman Hapus master); Cetak; Cari Perkiraan; Kembali (padanan Ke Menu),Kode Perkiraan; Kelompok; Nama Perkiraan; Status; Saldo Awal; Mutasi; Normal Balance; Dapat Diposting; Cari kode / nama perkiraan,"Grid 1: Kode, Nama Perkiraan, Saldo Awal, Mutasi, Status","Kode perkiraan harus unik, klasifikasi 1xx-5xx konsisten, normal balance dan kemampuan posting jelas. Saldo bukan field bebas; berasal dari opening balance terkontrol dan jurnal. Akun yang sudah dipakai dinonaktifkan, bukan dihapus.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Daftar chart of accounts PDF/Excel, audit perubahan, dan daftar akun nonaktif/exception. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
45,Menu Laba/Rugi,Laporan Laba Rugi,Menu Utama > Laba/Rugi,Hitung Ulang; Validasi HPP; Laba/Rugi Kotor; Laporan Laba/Rugi; Preview / Cetak; Ekspor Excel; Simpan Snapshot; Kembali (padanan Ke Menu); Buka Laporan; Reset dengan Konfirmasi,HPP Tambah (%); Data HPP Tambah; Periode Awal; Periode Akhir; Jenis Laporan; Status Transaksi,"Tidak ada grid utama pada layar ini; komponen utama: Parameter Laba / Rugi, Kontrol Perhitungan. Daftar terkait tetap wajib tersedia melalui tombol/panel yang ditentukan.","Menu menyediakan Laba/Rugi Kotor dan Laporan Laba/Rugi sebagai dua proses nyata. HPP Tambah harus eksplisit dan tervalidasi. Perintah reset hanya menghapus cache/parameter perhitungan setelah konfirmasi, tidak boleh menghapus transaksi sumber.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Parameter perhitungan tersimpan, snapshot, log validasi HPP, preview, Excel, dan tautan ke dua laporan. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
46,Mencetak Laba Rugi Kotor,Laba Rugi Kotor,Laba/Rugi > Cetak Laba Rugi Kotor,Hitung Ulang; Validasi HPP; Laba/Rugi Kotor; Laporan Laba/Rugi; Preview / Cetak; Ekspor Excel; Simpan Snapshot; Kembali (padanan Ke Menu); Buka Laporan; Reset dengan Konfirmasi,HPP Tambah (%); Data HPP Tambah; Periode Awal; Periode Akhir; Jenis Laporan; Status Transaksi,"Tidak ada grid utama pada layar ini; komponen utama: Parameter Laba / Rugi, Kontrol Perhitungan. Daftar terkait tetap wajib tersedia melalui tombol/panel yang ditentukan.","Laba kotor memakai HARGABELI snapshot pada baris penjualan, bukan harga master saat ini. Retur, diskon, kuantitas, biaya nol, margin negatif, dan rounding harus terlihat sebagai bagian perhitungan serta exception.","Kontrol mengikuti RBAC, status record/dokumen, periode, dan hak melihat kolom sensitif. Tombol yang belum boleh digunakan harus disabled dengan alasan, bukan hilang tanpa penjelasan. Setiap create/update/posting/cancel/reversal/cetak/ekspor menyimpan pengguna, waktu, perangkat, nilai sebelum-sesudah, correlation ID, dan audit trail. Web, Flutter Windows, dan Flutter Android memakai API serta aturan bisnis yang sama; retry offline wajib idempotent dan status sinkronisasi terlihat.","Laporan laba rugi kotor PDF/cetak/Excel, snapshot, daftar exception biaya/margin, dan drill-down invoice. Layar diterima hanya apabila seluruh kontrol di atas tersedia atau disabled dengan alasan yang sah, seluruh kolom dan perhitungan setara, efek data cocok dengan legacy/aturan yang disetujui, dan skenario normal, batal, hak akses, cetak/ekspor, offline/retry, rekonsiliasi, serta UAT lulus."
